"model","Main","Sample","Model Town","GT Road","Dehradun","Delhi","Godawn","Total"
"JC1L268M0045",0,1,1,0,1,2,0,5
"JC1L251M0055",0,0,0,0,0,0,0,0
"JC1L264M0045",0,0,1,0,0,0,0,1
"JC1L067M0045",0,0,0,0,0,0,0,0
"JC1L193M0025",0,0,0,0,0,0,0,0
"JC1L190M0045",0,0,0,0,0,0,0,0
"JC1L190M0075",0,0,0,0,0,0,0,0
"JC1L190M0035",0,0,0,0,0,0,0,0
"JC1L270M0045",0,1,0,1,1,1,0,4
"JC1L304M0045",1,0,0,0,1,2,0,4
"JC1L305M0035",0,0,0,0,1,0,0,1
"JC1L302M0045",0,1,0,0,1,1,0,3
"JC1L306M0025",0,0,1,0,0,0,0,1
"JC1L228M0015",0,0,0,0,0,0,0,0
"JC1L113M0045",0,0,0,0,0,0,0,0
"JC1L251M0015",0,0,0,0,0,0,0,0
"JC1L264M0065",0,0,0,0,0,0,0,0
"JC1L306M0045",0,0,0,0,1,1,0,2
"JC1L022M0035",0,0,0,0,0,0,0,0
"JC1L229M0025",0,0,0,0,0,0,0,0
"JC1L112M0055",0,0,0,0,0,0,0,0
"JC1L163M0045",0,0,0,0,0,0,0,0
"JC1L193M0065",0,0,0,0,0,0,0,0
"JC1L268M0065",0,1,0,0,0,2,0,3
"JC1L232M0015",0,0,0,0,0,0,0,0
"JC1L227M0055",0,0,0,0,0,1,0,1
"JC1L167M0035",0,0,0,0,0,0,0,0
"JC1L184M0045",0,0,0,0,0,0,0,0
"JC1L271M0045",0,1,1,2,1,1,0,6
"JC1L271M0065",0,1,1,1,1,1,0,5
"JC1L189M0065",0,0,0,0,0,0,0,0
"JC1L189M0055",0,0,0,0,0,0,0,0
"JC1L223M0015",0,0,0,0,0,0,0,0
"JC1L224M0035",1,0,0,0,1,1,0,3
"JC1L224M0055",2,0,0,0,1,0,0,3
"JC1L224M0095",58,1,0,0,1,1,0,61
"JC1L229M0055",0,0,0,0,0,0,0,0
"JC1L247M0065",0,0,0,0,0,0,0,0
"JC1L208M0045",5,1,0,0,0,0,0,6
"JC1L271M0015",1,0,0,0,0,0,0,1
"JC1L304M0065",0,0,0,0,0,0,0,0
"JC1L249M0015",0,0,0,0,0,0,0,0
"JC1L222M0045",0,0,0,0,0,0,0,0
"JC1L249M0035",0,0,0,0,1,0,0,1
"JC1L269M0065",1,1,0,0,1,1,0,4
"JC1L189M0085",0,0,0,0,0,0,0,0
"JC1L249M0065",0,0,0,0,1,2,0,3
"JC1L001M0025",0,0,0,0,0,0,0,0
"JC1L190M0055",0,0,0,0,0,0,0,0
"JC1L227M0085",0,0,0,0,0,1,0,1
"JC1L302M0035",0,0,0,0,0,0,0,0
"JC1L229M0035",0,0,0,0,0,0,0,0
"JC1L223M0055",13,1,0,0,0,0,0,14
"JC1L223M0045",17,1,0,0,0,0,0,18
"JC1L229M0085",0,0,0,0,0,0,0,0
"JC1G080L0025",0,0,0,0,0,0,0,0
"JC1L163M0035",0,0,0,0,0,0,0,0
"JC1L225M0065",0,0,0,0,0,0,0,0
"JC1L304M0025",0,0,0,0,1,0,0,1
"JC1L209M0015",0,1,0,0,1,2,0,4
"JC1L168M0075",0,0,0,0,0,0,0,0
"JC1L185M0025",0,0,0,0,0,0,0,0
"JC1L193M0055",9,0,1,0,1,1,0,12
"JC1L185M0035",0,0,0,0,0,0,0,0
"JC1L269M0035",0,0,0,0,0,1,0,1
"JC1L249M0025",0,0,0,0,1,2,0,3
"JC1L249M0045",0,0,1,0,0,1,0,2
"JC1L269M0075",0,1,1,1,1,1,0,5
"JC1L113M0035",0,0,0,0,0,0,0,0
"JC1L209M0085",5,1,0,0,0,0,0,6
"JC1L223M0035",15,1,0,0,0,0,0,16
"JC1L193M0045",0,0,0,0,0,0,0,0
"JC1L073M0015",0,0,0,0,0,0,0,0
"JC1L073M0065",0,0,0,0,0,0,0,0
"JC1L268M0015",1,0,0,0,0,0,0,1
"JC1L269M0015",0,0,0,0,0,0,0,0
"JC1L189M0035",0,0,0,0,0,0,0,0
"JC1L184M0015",0,0,0,0,0,0,0,0
"JC1L229M0015",0,0,0,0,0,0,0,0
"JC1L249M0055",0,0,0,0,1,1,0,2
"JC1L304M0035",0,0,0,0,0,0,0,0
"JC1L225M0105",0,0,0,0,0,0,0,0
"JC1L222M0075",0,0,0,0,0,0,0,0
"JC1L163M0265",0,0,0,0,0,0,0,0
"JC1L222M0015",0,0,0,0,0,0,0,0
"JC1L073M0045",0,0,0,0,0,0,0,0
"JC1L269M0025",0,1,0,0,1,1,0,3
"JC1L302M0025",0,0,0,0,0,1,0,1
"JC1L248M0015",0,0,0,1,0,0,0,1
"JC1L177M0035",0,0,0,0,0,0,0,0
"JC1L190M0025",0,0,0,0,0,0,0,0
"JC1L186M0035",0,0,0,0,0,0,0,0
"JC1L177M0055",0,0,0,0,0,0,0,0
"JC1L264M0055",0,0,0,0,0,0,0,0
"JC1L227M0015",0,0,0,0,0,0,0,0
"JC1L225M0035",0,0,0,0,0,0,0,0
"JC1L186M0045",0,0,0,0,0,0,0,0
"JC1L302M0065",0,0,0,0,0,0,0,0
"JC1L305M0025",0,0,1,0,0,2,0,3
"JC1L073M0055",0,0,0,0,0,0,0,0
"JC1L224M0015",0,0,0,0,0,0,0,0
"JC1L115M0035",0,0,0,0,0,0,0,0
"JC1L268M0035",0,0,0,0,0,0,0,0
"JC1L251M0035",0,0,0,0,0,1,0,1
"JC1L001M0035",0,0,0,0,0,0,0,0
"JC1L001M0045",0,0,0,0,0,0,0,0
"JC1L001M0055",0,0,0,0,0,0,0,0
"JC1L001M0065",0,0,0,0,0,0,0,0
"JC1L001M0115",0,0,0,0,0,0,0,0
"JC1L001M0125",0,0,0,0,0,0,0,0
"JC1L001M0155",0,0,0,0,0,0,0,0
"JC1L001M0165",0,0,0,0,0,0,0,0
"JC1L022M0055",0,0,0,0,0,0,0,0
"JC1L022M0065",0,0,0,0,0,0,0,0
"JC1L022M0075",0,0,0,0,0,0,0,0
"JC1L067M0015",0,0,0,0,0,0,0,0
"JC1L067M0025",0,0,0,0,0,0,0,0
"JC1L067M0035",0,0,0,0,0,0,0,0
"JC1L067M0055",0,0,0,0,0,0,0,0
"JC1L067M0065",0,0,0,0,0,0,0,0
"JC1L073M0035",0,0,0,0,0,0,0,0
"JC1L112M0035",0,0,0,0,0,0,0,0
"JC1L114M0055",0,0,0,0,0,0,0,0
"JC1L114M0075",0,0,0,0,0,0,0,0
"JC1L115M0025",0,0,0,0,0,0,0,0
"JC1L115M0045",0,0,0,0,0,0,0,0
"JC1L115M0055",0,0,0,0,0,0,0,0
"JC1L163M0015",0,0,0,0,0,0,0,0
"JC1L163M0025",0,0,0,0,0,0,0,0
