modelName,mrp,brand,image
JC1L228M0075,24800,Just Cavalli,https://img.tatacliq.com/images/i8/658Wx734H/MP000000014411853_658Wx734H_202209101737251.jpeg
JC1L168M0055,23000,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/22.1_354810c0-4ab0-4b5e-9de3-c08ef0a38bc2.jpg?v=1711790627
JC1L163M0215,23600,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000012146237_1348Wx2000H_202202171826401.jpg?v=1712123878
JC1L189M0075,24900,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/39.1_c67a0168-dfd4-4f69-b8d6-c095ef571e59.jpg?v=1711789589
JC1L248M0025,24900,Just Cavalli,https://img.tatacliq.com/images/i9/658Wx734H/MP000000016590870_658Wx734H_202302181737081.jpeg
JC1L230M0045,25500,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000016590874_1316Wx1468H_202302181738041.jpg?v=1712117898
JC1L228M0055,25200,Just Cavalli,https://img.tatacliq.com/images/i8/658Wx734H/MP000000014411849_658Wx734H_202209101737241.jpeg
JC1L226M0035,26100,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000016590869_1316Wx1468H_202302181737081.jpg?v=1711798813
JC1L248M0085,26100,Just Cavalli,https://img.tatacliq.com/images/i9/658Wx734H/MP000000016577473_658Wx734H_202302180305401.jpeg
JC1L209M0045,23600,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/44.1_c9653746-c8b4-4771-aa7c-361de12e651e.jpg?v=1711789595
JC1L224M0025,21700,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000014411785_1316Wx1468H_202209101734171.jpg?v=1712039942
JC1L168M0035,22500,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000013788373_1348Wx2000H_202207142126141.jpg?v=1712036441
JC1L226M0055,26100,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000016590863_1316Wx1468H_202302181737141.jpg?v=1712131102
JC1L223M0025,19900,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000016590859_1316Wx1468H_202302181737091.jpg?v=1712044466
JC1L230M0035,25500,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000016590880_1316Wx1468H_202302181738111.jpg?v=1712051809
JC1L226M0045,26300,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000016590858_1316Wx1468H_202302181737121.jpg?v=1712057159
JC1L230M0075,25800,Just Cavalli,https://img.tatacliq.com/images/i9/658Wx734H/MP000000016590878_658Wx734H_202302181738151.jpeg
JC1L209M0055,24900,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/45.1_f433eaa5-d35c-4d9b-bdeb-813d0aed88dc.jpg?v=1711789596
JC1L163M0225,23600,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000012245877_1316Wx1468H_202202231210141.jpg?v=1712124833
JC1L228M0085,24900,Just Cavalli,https://img.tatacliq.com/images/i8/658Wx734H/MP000000014411856_658Wx734H_202209101737281.jpeg
JC1L225M0015,17400,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000014411795_1316Wx1468H_202209101734261.jpg?v=1712033214
JC1L189M0015,20400,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000013555741_1316Wx1468H_202206240533261.jpg?v=1712118704
JC1L209M0075,23600,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000012146271_1348Wx2000H_202202171834291.jpg?v=1712048334
JC1L222M0055,23750,Just Cavalli,https://img.tatacliq.com/images/i13/658Wx734H/MP000000018921810_658Wx734H_202308261451051.jpeg
JC1L113M0025,15900,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/10.1_c0b38c0e-ef83-4eb6-9965-6fb0408ca0e3.jpg?v=1711789554
JC1L186M0055,19800,Just Cavalli,https://img.tatacliq.com/images/i7/658Wx734H/MP000000010807647_658Wx734H_202110050012241.jpeg
JC1L227M0065,20300,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000016590881_1316Wx1468H_202302181738141.jpg?v=1712048926
JC1L247M0045,21100,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000016577477_1316Wx1468H_202302180305341.jpg?v=1711798698
JC1L247M0035,20100,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000016612026_1348Wx2000H_202302211324291.jpg?v=1712037892
JC1L264M0035,22750,Just Cavalli,https://img.tatacliq.com/images/i13/658Wx734H/MP000000018921833_658Wx734H_202308261454071.jpeg
JC1L225M0085,21500,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000015315028_1316Wx1468H_202211170415201.jpg?v=1712120085
JC1L226M0065,26300,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000016590871_1316Wx1468H_202302181737131.jpg?v=1712044106
JC1L251M0025,21250,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000016577467_1316Wx1468H_202302180305381.jpg?v=1712059523
JC1L163M0245,23600,Just Cavalli,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000012146245_1348Wx2000H_202202171829181.jpg?v=1712125962
JC1L186M0025,18900,Just Cavalli,https://img.tatacliq.com/images/i7/658Wx734H/MP000000010807686_658Wx734H_202110050019441.jpeg
