Model No.,Godwan,MT Stock,IB Stock,DDN Stock,DL Stock,CHD Stock,Main,Sample Line,Total
R27097672,0,0,0,0,0,0,0,0,0
R27098682,0,0,0,0,0,0,0,0,0
R33103314,0,0,0,0,0,0,0,0,0
R32482722,0,0,0,0,0,0,0,0,0
R32523722,0,0,0,0,0,0,0,0,0
R32041702,0,0,0,0,0,0,0,0,0
R32042153,0,0,0,0,0,0,0,0,0
R32042203,0,0,0,0,0,0,0,0,0
R32111162,0,0,0,0,0,0,0,0,0
R32118102,0,0,0,0,0,0,0,0,0
R32121152,0,0,0,0,0,0,0,0,0
R32021102,0,0,0,0,0,0,0,0,0
R30178152,0,0,0,0,0,0,0,0,0
R30180162,0,0,0,0,0,0,0,0,0
R30181312,0,0,0,0,0,0,0,0,0
R30248712,0,0,0,0,0,0,0,0,0
R30248902,0,0,0,0,0,0,0,0,0
R14056935,0,0,0,0,0,0,0,0,0
R14056955,0,0,0,0,0,0,0,0,0
R14058905,0,0,0,0,0,0,0,0,0
R32254202,0,0,0,0,0,0,0,0,0
R32254302,0,0,0,0,0,0,0,0,0
R33100013,0,0,0,0,0,0,0,0,0
R33100103,0,0,0,0,0,0,0,0,0
R33101314,0,1,0,0,0,0,0,0,1
R33101203,0,0,0,0,0,0,0,0,0
R14138206,0,0,0,0,0,0,0,0,0
R14053106,0,0,0,0,0,0,0,0,0
R32139708,0,0,0,0,0,0,0,0,0
R12403633,0,0,0,0,0,0,0,0,0
R12416073,0,0,0,0,0,0,0,0,0
R12416193,0,0,0,0,0,0,0,0,0
R12416393,0,0,0,0,0,0,0,0,0
R12416573,0,0,0,0,0,0,0,0,0
R12416613,0,0,0,0,0,0,0,0,0
R12416633,0,0,0,0,0,0,0,0,0
R12416673,0,0,0,0,0,0,0,0,0
R12416803,0,0,0,0,0,0,0,0,0
R12304303,0,0,0,0,0,0,0,0,0
R12304313,0,0,0,0,0,0,0,0,0
R12305304,0,0,0,0,0,0,0,0,0
R12391103,0,1,0,1,0,0,0,0,2
R12391153,0,1,0,1,0,0,0,0,2
R12391633,0,1,0,1,0,0,0,0,2
R12393633,0,1,0,1,0,0,0,0,2
R12638173,0,0,0,0,0,0,0,0,0
R12949153,0,1,0,0,0,0,0,0,1
R12637163,0,0,0,0,0,0,0,0,0
R12408613,0,0,0,0,0,0,0,0,0
R12408633,0,0,0,0,0,0,0,0,0
R12413033,0,0,0,0,0,0,0,0,0
R12413073,0,0,0,0,0,0,0,0,0
R12413193,0,0,0,0,0,0,0,0,0
R12413243,0,0,0,0,0,0,0,0,0
R12413313,0,0,0,0,0,0,0,0,0
R12413323,0,0,0,0,0,0,0,0,0
R12413343,0,0,0,0,0,0,0,0,0
R12413493,0,0,0,0,0,0,0,0,0
R12413503,0,0,0,0,0,0,0,0,0
R12413523,0,0,0,0,0,0,0,0,0
R12413533,0,0,0,0,0,0,0,0,0
R12413573,0,0,0,0,0,0,0,0,0
R12413613,0,0,0,0,0,0,0,0,0
R12413803,0,0,0,0,0,0,0,0,0
R12413314,0,0,0,0,0,0,0,0,0
R12413584,0,0,0,0,0,0,0,0,0
R12306303,0,0,0,0,0,0,0,0,0
R12306313,0,0,0,0,0,0,0,0,0
R12307304,0,0,0,0,0,0,0,0,0
R30134162,0,0,0,0,0,0,0,0,0
R20141712,0,0,0,0,0,0,0,0,0
R20140712,0,0,0,0,0,0,0,0,0
R27110872,0,0,0,0,0,0,0,0,0
R27957909,0,0,0,0,0,0,0,0,0
R27958909,0,0,0,0,0,0,0,0,0
R27243872,0,0,0,0,0,0,0,0,0
R27070202,0,0,0,0,0,0,0,0,0
R22883913,0,0,0,0,0,0,0,0,0
R22862075,0,0,0,0,0,0,0,0,0
R22860075,0,0,0,0,0,0,0,0,0
R22860165,0,0,0,0,0,0,0,0,0
R22860163,0,0,0,0,0,0,0,0,0
R14064745,0,0,0,0,0,0,0,0,0
R14053716,0,0,0,0,0,0,0,0,0
R22878163,0,0,0,0,0,0,0,0,0
R22878045,0,0,0,0,0,0,0,0,0
R22879215,0,0,0,1,0,0,0,0,1
R22879315,0,0,0,0,0,0,0,0,0
R32137153,0,0,0,1,0,0,0,0,1
R32138153,0,1,0,0,0,0,0,0,1
R32502163,0,0,0,0,0,0,0,0,0
R27106922,0,0,0,0,0,0,0,0,0
R32156153,0,0,0,1,0,0,0,0,1
R32156163,0,0,0,0,0,0,0,0,0
R32156203,0,1,0,1,0,0,0,0,2
R22879325,0,0,0,0,0,0,0,0,0
